pu+pr-b,pu pr,,Should be 0,,,,,anti-Stokes
Amp,Amp,,,,,,,
-51.76,-52.4,,0.64,,,,,
-51.7,-52.26,,0.56,,,,,
-51.6,-52.28,,0.68,,,,,
-51.66,-52.31,,0.65,,,,,
-51.6,-52.23,,0.63,,,,,
-51.6,-52.28,,0.68,,,,,
-51.57,-52.22,,0.65,,,,,
-51.38,-52.17,,0.79,,,,,
-51.44,-52.23,,0.79,,,,,
-51.4,-52.12,,0.72,,,,,
-51.35,-52.19,,0.84,,,,,
-51.41,-52.13,,0.72,,,,,
-51.26,-52.1,,0.84,,,,,
-51.26,-52.09,,0.83,,,,,
-51.14,-51.97,,0.83,,,,,
-51.16,-51.96,,0.8,,,,,
-51.13,-52,,0.87,,,,,
-51,-51.91,,0.91,,,,,
-50.97,-51.95,,0.98,,,,,
-50.94,-51.91,,0.97,,,,,
-50.85,-51.8,,0.95,,,,,
-50.75,-51.82,,1.07,,,,,
-50.84,-51.73,,0.89,,,,,
-50.64,-51.79,,1.15,,,,,
-50.63,-51.77,,1.14,,,,,
-50.57,-51.59,,1.02,,,,,
-50.52,-51.72,,1.2,,,,,
-50.45,-51.59,,1.14,,,,,
-50.33,-51.51,,1.18,,,,,
-50.22,-51.5,,1.28,,,,,
-50.19,-51.42,,1.23,,,,,
-50.07,-51.44,,1.37,,,,,
-50.04,-51.39,,1.35,,,,,
-50,-51.28,,1.28,,,,,
-49.89,-51.29,,1.4,,,,,
-49.82,-51.3,,1.48,,,,,
-49.68,-51.09,,1.41,,,,,
-49.62,-51.09,,1.47,,,,,
-49.46,-51.07,,1.61,,,,,
-49.38,-50.89,,1.51,,,,,
-49.33,-50.92,,1.59,,,,,
-49.23,-50.77,,1.54,,,,,
-49.01,-50.76,,1.75,,,,,
-48.95,-50.76,,1.81,,,,,
-48.84,-50.57,,1.73,,,,,
-48.81,-50.57,,1.76,,,,,
-48.65,-50.57,,1.92,,,,,
-48.6,-50.35,,1.75,,,,,
-48.44,-50.38,,1.94,,,,,
-48.33,-50.29,,1.96,,,,,
-48.19,-50.19,,2,,,,,
-48.07,-50.18,,2.11,,,,,
-48.06,-50.03,,1.97,,,,,
-47.88,-50,,2.12,,,,,
-47.69,-49.95,,2.26,,,,,
-47.63,-49.81,,2.18,,,,,
-47.5,-49.74,,2.24,,,,,
-47.48,-49.76,,2.28,,,,,
-47.28,-49.62,,2.34,,,,,
-47.15,-49.59,,2.44,,,,,
-47.06,-49.48,,2.42,,,,,
-46.97,-49.43,,2.46,,,,,
-46.86,-49.35,,2.49,,,,,
-46.69,-49.34,,2.65,,,,,
-46.67,-49.23,,2.56,,,,,
-46.58,-49.17,,2.59,,,,,
-46.42,-49.07,,2.65,,,,,
-46.36,-49.06,,2.7,,,,,
